branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
0,0,18,1,1,ecal,21,6,10.2,1
1,0,18,2,1,ecal,21,7,10.2,1
2,0,18,3,1,ecal,21,8,10.2,1
3,0,18,4,1,ecal,21,9,10.2,1
4,0,18,5,1,ecal,21,10,10.2,1
5,0,18,6,1,ecal,22,10,10.2,1
6,0,18,7,1,ecal,22,9,10.2,1
7,0,18,8,1,ecal,22,8,10.2,1
8,0,18,9,1,ecal,22,7,10.2,1
9,0,18,10,1,ecal,22,6,10.2,1
10,0,18,11,1,ecal,23,6,10.2,1
11,0,18,12,1,ecal,23,7,10.2,1
12,0,18,13,1,ecal,23,8,10.2,1
13,0,18,14,1,ecal,23,9,10.2,1
14,0,18,15,1,ecal,23,10,10.2,1
15,0,18,16,1,ecal,24,10,10.2,1
16,0,18,17,1,ecal,24,9,10.2,1
17,0,18,18,1,ecal,24,8,10.2,1
18,0,18,19,1,ecal,24,7,10.2,1
19,0,18,20,1,ecal,24,6,10.2,1
20,0,18,21,1,ecal,25,6,10.2,1
21,0,18,22,1,ecal,25,7,10.2,1
22,0,18,23,1,ecal,25,8,10.2,1
23,0,18,24,1,ecal,25,9,10.2,1
24,0,18,25,1,ecal,25,10,10.2,1
25,0,2,1,1,ecal,5,10,10.2,1
26,0,2,2,1,ecal,5,9,10.2,1
27,0,2,3,1,ecal,5,8,10.2,1
28,0,2,4,1,ecal,5,7,10.2,1
29,0,2,5,1,ecal,5,6,10.2,1
30,0,2,6,1,ecal,4,6,10.2,1
31,0,2,7,1,ecal,4,7,10.2,1
32,0,2,8,1,ecal,4,8,10.2,1
33,0,2,9,1,ecal,4,9,10.2,1
34,0,2,10,1,ecal,4,10,10.2,1
35,0,2,11,1,ecal,3,10,10.2,1
36,0,2,12,1,ecal,3,9,10.2,1
37,0,2,13,1,ecal,3,8,10.2,1
38,0,2,14,1,ecal,3,7,10.2,1
39,0,2,15,1,ecal,3,6,10.2,1
40,0,2,16,1,ecal,2,6,10.2,1
41,0,2,17,1,ecal,2,7,10.2,1
42,0,2,18,1,ecal,2,8,10.2,1
43,0,2,19,1,ecal,2,9,10.2,1
44,0,2,20,1,ecal,2,10,10.2,1
