branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
0,0,0,1,1,ecal,1,16,10,1
1,0,0,2,1,ecal,2,16,10,1
2,0,0,3,1,ecal,3,16,10,1
3,0,0,4,1,ecal,4,16,10,1
4,0,0,5,1,ecal,5,16,10,1
5,0,0,6,1,ecal,5,17,10,1
6,0,0,7,1,ecal,4,17,10,1
7,0,0,8,1,ecal,3,17,10,1
8,0,0,9,1,ecal,2,17,10,1
9,0,0,10,1,ecal,1,17,10,1
10,0,0,11,1,ecal,1,18,10,1
11,0,0,12,1,ecal,2,18,10,1
12,0,0,13,1,ecal,3,18,10,1
13,0,0,14,1,ecal,4,18,10,1
14,0,0,15,1,ecal,5,18,10,1
15,0,0,16,1,ecal,5,19,10,1
16,0,0,17,1,ecal,4,19,10,1
17,0,0,18,1,ecal,3,19,10,1
18,0,0,19,1,ecal,2,19,10,1
19,0,0,20,1,ecal,1,19,10,1
20,0,0,21,1,ecal,1,20,10,1
21,0,0,22,1,ecal,2,20,10,1
22,0,0,23,1,ecal,3,20,10,1
23,0,0,24,1,ecal,4,20,10,1
24,0,0,25,1,ecal,5,20,10,1
25,0,1,1,1,ecal,5,15,10,1
26,0,1,2,1,ecal,4,15,10,1
27,0,1,3,1,ecal,3,15,10,1
28,0,1,4,1,ecal,2,15,10,1
29,0,1,5,1,ecal,1,15,10,1
30,0,1,6,1,ecal,1,14,10,1
31,0,1,7,1,ecal,2,14,10,1
32,0,1,8,1,ecal,3,14,10,1
33,0,1,9,1,ecal,4,14,10,1
34,0,1,10,1,ecal,5,14,10,1
35,0,1,11,1,ecal,5,13,10,1
36,0,1,12,1,ecal,4,13,10,1
37,0,1,13,1,ecal,3,13,10,1
38,0,1,14,1,ecal,2,13,10,1
39,0,1,15,1,ecal,1,13,10,1
40,0,1,16,1,ecal,1,12,10,1
41,0,1,17,1,ecal,2,12,10,1
42,0,1,18,1,ecal,3,12,10,1
43,0,1,19,1,ecal,4,12,10,1
44,0,1,20,1,ecal,5,12,10,1
45,0,1,21,1,ecal,5,11,10,1
46,0,1,22,1,ecal,4,11,10,1
47,0,1,23,1,ecal,3,11,10,1
48,0,1,24,1,ecal,2,11,10,1
49,0,1,25,1,ecal,1,11,10,1
50,0,2,1,2,ecal,5,30,10,1
51,0,2,2,2,ecal,4,30,10,1
52,0,2,3,2,ecal,3,30,10,1
53,0,2,4,2,ecal,2,30,10,1
54,0,2,5,2,ecal,1,30,10,1
55,0,2,6,2,ecal,1,29,10,1
56,0,2,7,2,ecal,2,29,10,1
57,0,2,8,2,ecal,3,29,10,1
58,0,2,9,2,ecal,4,29,10,1
59,0,2,10,2,ecal,5,29,10,1
60,0,2,11,2,ecal,5,28,10,1
61,0,2,12,2,ecal,4,28,10,1
62,0,2,13,2,ecal,3,28,10,1
63,0,2,14,2,ecal,2,28,10,1
64,0,2,15,2,ecal,1,28,10,1
65,0,2,16,2,ecal,1,27,10,1
66,0,2,17,2,ecal,2,27,10,1
67,0,2,18,2,ecal,3,27,10,1
68,0,2,19,2,ecal,4,27,10,1
69,0,2,20,2,ecal,5,27,10,1
70,0,2,21,2,ecal,5,26,10,1
71,0,2,22,2,ecal,4,26,10,1
72,0,2,23,2,ecal,3,26,10,1
73,0,2,24,2,ecal,2,26,10,1
74,0,2,25,2,ecal,1,26,10,1
75,0,3,1,1,ecal,6,21,10,1
76,0,3,2,1,ecal,7,21,10,1
77,0,3,3,1,ecal,8,21,10,1
78,0,3,4,1,ecal,9,21,10,1
79,0,3,5,1,ecal,10,21,10,1
80,0,3,6,1,ecal,10,22,10,1
81,0,3,7,1,ecal,9,22,10,1
82,0,3,8,1,ecal,8,22,10,1
83,0,3,9,1,ecal,7,22,10,1
84,0,3,10,1,ecal,6,22,10,1
85,0,3,11,1,ecal,6,23,10,1
86,0,3,12,1,ecal,7,23,10,1
87,0,3,13,1,ecal,8,23,10,1
88,0,3,14,1,ecal,9,23,10,1
89,0,3,15,1,ecal,10,23,10,1
90,0,3,16,1,ecal,10,24,10,1
91,0,3,17,1,ecal,9,24,10,1
92,0,3,18,1,ecal,8,24,10,1
93,0,3,19,1,ecal,7,24,10,1
94,0,3,20,1,ecal,6,24,10,1
95,0,3,21,1,ecal,6,25,10,1
96,0,3,22,1,ecal,7,25,10,1
97,0,3,23,1,ecal,8,25,10,1
98,0,3,24,1,ecal,9,25,10,1
99,0,3,25,1,ecal,10,25,10,1
100,0,4,1,1,ecal,6,16,10,1
101,0,4,2,1,ecal,7,16,10,1
102,0,4,3,1,ecal,8,16,10,1
103,0,4,4,1,ecal,9,16,10,1
104,0,4,5,1,ecal,10,16,10,1
105,0,4,6,1,ecal,10,17,10,1
106,0,4,7,1,ecal,9,17,10,1
107,0,4,8,1,ecal,8,17,10,1
108,0,4,9,1,ecal,7,17,10,1
109,0,4,10,1,ecal,6,17,10,1
110,0,4,11,1,ecal,6,18,10,1
111,0,4,12,1,ecal,7,18,10,1
112,0,4,13,1,ecal,8,18,10,1
113,0,4,14,1,ecal,9,18,10,1
114,0,4,15,1,ecal,10,18,10,1
115,0,4,16,1,ecal,10,19,10,1
