seed_channel,x_center_hodo,y_center_hodo,a_eta,b_eta,a_phi,b_phi,calibrationfactor
227,1.84930,0.95831,54.90588,0.05090,8.04275,-0.04461,0.0001061240
228,1.69525,2.31794,54.90294,0.05725,7.10781,-0.04651,0.0000982029
229,1.20725,4.67194,54.93131,0.05689,6.21891,-0.04686,0.0001031212
230,-0.80104,4.92469,54.04133,0.05159,6.23880,-0.04849,0.0000930839
231,0.01716,2.40338,53.99909,0.05300,7.11302,-0.04703,0.0001079564
232,-0.81933,1.11268,54.04016,0.04902,8.05289,-0.04753,0.0000989936
237,-0.94380,1.09865,53.04382,0.04643,8.04983,-0.04535,0.0001026878
238,-0.22241,2.29970,53.01169,0.05256,7.10907,-0.04743,0.0001030609
239,-2.54178,4.87386,53.13170,0.05181,6.25088,-0.05147,0.0000914328
240,-0.81047,4.30119,52.04219,0.05206,6.21877,-0.05086,0.0000971157
241,-0.86974,2.25601,52.04425,0.05088,7.10524,-0.04665,0.0001039177
242,-1.06192,1.28406,52.05117,0.04819,8.06151,-0.04790,0.0001034875
247,-5.52057,1.73040,51.27044,0.04899,8.08625,-0.04985,0.0001113214
248,-5.63367,2.72572,51.28321,0.05027,7.13788,-0.05059,0.0001039825
249,-6.05487,4.38830,51.29340,0.04846,6.21444,-0.04887,0.0000967399
350,-2.18054,5.75896,55.10503,0.04817,5.17128,-0.02974,0.0000978761
351,-4.15916,1.44019,55.18809,0.04522,4.05506,-0.03823,0.0001022181
352,-3.59292,8.62491,55.13648,0.03799,3.33795,-0.03918,0.0000994332
357,-1.05293,8.65604,54.05603,0.05322,3.41797,-0.04829,0.0000990393
358,-1.11978,7.38456,54.05587,0.04989,4.34146,-0.04624,0.0000994332
359,-0.16834,5.76144,54.00902,0.05361,5.18100,-0.03142,0.0001056874
360,-0.77360,6.21416,53.04063,0.05251,5.29068,-0.04678,0.0001031093
361,-1.15227,7.62978,53.05655,0.04908,4.36020,-0.04721,0.0000949037
362,-1.47507,8.60418,53.07798,0.05287,3.41668,-0.04843,0.0000985902
367,-1.63232,8.61126,52.08276,0.05070,3.40727,-0.04729,0.0001002305
368,-1.24478,7.85550,52.05941,0.04773,4.36404,-0.04634,0.0001052964
369,-1.14731,6.32310,52.06196,0.05400,5.30758,-0.04864,0.0001002305
370,-6.28652,6.40962,51.30389,0.04834,5.31058,-0.04845,0.0001010407
371,-6.94700,8.37918,51.29634,0.04266,4.36076,-0.04305,0.0001052299
372,-8.03624,8.78011,51.32601,0.04057,3.36986,-0.04212,0.0001098903
